cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,440,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,15.2959,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0161,158.36,794.38
256,448,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,14.6067,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0162,168.84,840.14
256,456,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,15.0889,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0163,166.37,821.3
256,464,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,15.177,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0162,168.3,824.49
256,472,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.4615,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0162,168.05,817.13
256,480,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,15.2604,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0162,173.15,835.82
256,488,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.3556,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0161,174.95,838.51
256,496,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,6,15.6215,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0185,174.79,831.97
256,504,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.4477,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.016,179.61,849.15
256,512,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,15.6923,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0161,179.61,843.62
256,72,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,7,14.202,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0197,74.42,1116.72
256,80,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,6,13.5885,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0179,86.43,1176.79
256,88,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,7,13.365,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0192,96.66,1206.27
256,96,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,8,13.5905,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0212,103.7,1195.9
256,104,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,5,14.1683,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0157,107.76,1156.38
256,112,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,7,13.7867,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0199,119.26,1197.9
256,120,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,5,13.8184,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0159,127.48,1204.64
256,128,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,5,13.7146,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0159,137.01,1223.31
256,136,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,5,14.0374,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0166,142.23,1204.52
256,144,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,6,14.6981,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0185,143.82,1159.29
256,152,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,6,14.7928,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0186,150.84,1160.73
256,160,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,15.0151,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0161,156.43,1152.27
256,168,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,14.9258,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0162,165.23,1167.95
256,176,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.2082,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0162,169.89,1154.88
256,184,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,14.7758,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0163,182.81,1197.55
256,192,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,14.6664,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0162,192.18,1215.42
256,200,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,15.7943,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0164,185.89,1136.92
256,208,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.5239,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0162,196.69,1165.17
256,216,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.5874,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0163,203.43,1168.83
256,224,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,4,16.4255,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0143,200.2,1117.17
256,232,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,16.0293,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0162,212.47,1152.96
256,240,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,5,15.7945,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0159,223.07,1178.4
256,248,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,4,16.5684,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0139,219.73,1131.27
256,256,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,16.2678,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0162,231.01,1160.23
256,264,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,16.408,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0162,236.2,1158.3
256,272,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,16.465,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0162,242.51,1162.25
